Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Vendor,Vendor Part #,Manufacturer,Link,Comments
31,Stepper Motor Driver 8.2V to 45V 2.5A,DRV8825,U2,DRV8825,DRV8825,1,https://www.pololu.com/product-info-merged/2133,Pololu,2133,Pololu,https://www.pololu.com/product/2133,
32,RTC Breakout 5V 32KHz I2C,DS3231_Breakout,U4,DS3231 RTC,Pin_Header_Straight_1x08_Pitch2.54mm,1,https://cdn-shop.adafruit.com/product-files/3013/DS3231.pdf,Adafruit,3013,Adafruit,,
33,"0.96"" OLED 5V I2C 128x64",OLED_Display,U1,OLED_Display,Pin_Header_Straight_1x04_Pitch2.54mm,1,https://www.uctronics.com/download/Amazon/U602602.pdf,Amazon,B072Q2X2LL,Uctronics,,
34,"3A, Step Down Swift Converter, Adjustable Output Voltage, 5.5-36V Input Voltage, PowerSO-8",TPS5430DDA,U3,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,1,http://www.ti.com/lit/ds/symlink/tps5430.pdf,LCSC,C9864,Texas Instruments,,
35,"Four pin crystal, GND on pins 2 and 4",Crystal_GND24,Y1,16MHz,SMD-3225_4P,1,https://datasheet.lcsc.com/szlcsc/Yangxing-Tech-X322516MLB4SI_C13738.pdf,LCSC,C13738,Yangxing Tech,,





Component Groups:,35
Component Count:,53
Fitted Components:,53
Number of PCBs:,1
Total components:,53
Schematic Version:,v1
Schematic Date:,2020-10-05
BoM Date:,10/26/2020 7:07:13 PM
Schematic Source:,C:\Users\ugupta\Desktop\Fall 2020\Microcontrollers\Kitty Caddy\Kitty Caddy.sch
KiCad Version:,Eeschema (5.1.6)-1
